80,81,82,83,84,85,86,87;84,85,86,87,88,89,90,91,92,93,94,95,96,97,98
74,75,76,77,78,79,80,81,82;85,86,87,88,89,90,91,92,93,94,95
83,84,85,86,87,88,89,90,91,92;68,69,70,71,72,73,74,75,76,77
68,69,70,71,72;64,65,66,67,68,69
51,52,53,54,55,56,57,58,59,60,61,62,63;98,99,100,101,102,103
90,91,92,93,94,95,96,97,98,99,100;87,88,89,90,91,92,93,94,95,96,97,98,99
84,85,86,87,88,89,90,91;93,94,95,96,97,98,99,100,101,102,103,104,105,106
65,66,67,68,69,70,71,72,73,74,75,76,77,78;98,99,100,101,102,103,104,105,106,107,108,109,110,111,112
65,66,67,68,69,70,71,72;53,54,55,56,57,58
74,75,76,77,78,79,80,81,82,83,84,85;96,97,98,99,100,101,102,103
64,65,66,67,68,69,70,71,72,73,74,75,76,77;90,91,92,93,94,95,96,97,98,99,100,101,102,103,104
88,89,90,91,92,93,94,95,96,97,98,99,100,101,102;63,64,65,66,67,68,69,70,71,72,73,74
20,25,36,45,89;25,36,77,88,98
66,67,68,69,70,71,72,73,74,75,76,77;53,54,55,56,57,58,59,60,61,62
9,10,11;11,12,13
51,52,53,54,55,56;67,68,69,70,71
87,88,89,90,91,92,93,94,95,96,97,98,99,100;88,89,90,91,92,93,94,95,96,97
1,2,3,4;3,4,5,6
72,73,74,75,76,77,78,79;70,71,72,73,74,75,76,77,78,79,80,81
9,10,11;33,34,35
